语例ID,主语(目标域),谓语(源域),谓语中心词,主语中心词,源域,源域名称,目标域,目标域名称,映射方向,映射方向标签,CFMC源域频次,C_entrench,BCC词频,L_entrench,余弦相似度,Sem_dist,修饰成分,Con_cue,D_reg客观基线,D_trans客观基线,CA客观基线,CA基线等级
xb_01353,江泽民同志的报告,宏伟的跨世纪的行动纲领,纲领,报告,HM,人体,AB,抽象,4,抽象→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01354,路,人走出来的,人,路,SP,空间,AB,抽象,2,具体→抽象,203,0.7507,,,,,,,0.3003,,0.1652,1
xb_01355,党的基本路线,党和国家发展的根本所在,所在,路线,LV,生命,AB,抽象,3,抽象→抽象,263,0.7871,,,,,,,0.3148,,0.1732,1
xb_01356,美帝国主义,战争侵略阵营的祸首,祸首,帝国主义,HM,人体,AB,抽象,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01357,人民解放军,无产阶级专政的坚强柱石,专政,解放军,OB,物体,AB,抽象,1,具体→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_01358,人民群众,社会主义社会的主人,主人,群众,HM,人体,AB,抽象,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01359,工人阶级和贫下中农的广大革命群众,取得这次文化大革命伟大胜利的主力军,主力军,群众,WR,战争,AB,抽象,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_01360,结果,自取灭亡,自取灭亡,结果,HM,人体,AB,抽象,3,抽象→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01361,人,生产力的最活跃最积极的因素,因素,人,HM,人体,AB,抽象,4,抽象→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01362,婚姻的基础,爱情,爱情,基础,EM,情感,AB,抽象,3,抽象→抽象,134,0.6924,,,,,,,0.277,,0.1523,1
xb_01363,21世纪,质量的世纪,世纪,世纪,TM,时间,AB,抽象,3,抽象→抽象,40,0.5242,,,,,,,0.2097,,0.1153,1
xb_01364,这些人,帝国主义国民党的爪牙,爪牙,人,LV,生命,AB,抽象,1,具体→具体,263,0.7871,,,,,,,0.3148,,0.1732,1
xb_01365,红十字事业,人类社会文明进步的重要标志,标志,事业,OB,物体,AB,抽象,3,抽象→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_01366,听党指挥,灵魂,灵魂,指挥,BD,建筑,AB,抽象,2,具体→抽象,221,0.7626,,,,,,,0.3051,,0.1678,1
xb_01367,通讯,运动会的命脉,命脉,通讯,BD,建筑,AB,抽象,2,具体→抽象,221,0.7626,,,,,,,0.3051,,0.1678,1
xb_01368,节目的质量,关键,关键,质量,OB,物体,AB,抽象,3,抽象→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_01369,企业,国家的主体,主体,企业,HM,人体,AB,抽象,4,抽象→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01370,微电影,大众文化、草根文化的体现,体现,电影,HM,人体,AB,抽象,3,抽象→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01371,市民,城市的主人,主人,市民,HM,人体,AB,抽象,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01372,美帝国主义,世界人民的共同敌人,敌人,帝国主义,HM,人体,AB,抽象,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01373,修正主义,工人阶级运动的主要危险,危险,修正主义,HM,人体,AB,抽象,3,抽象→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
